App Name,Creator,Genre,Rate,Number of Reviews,Price,Additional Info,Spider Depth Level
Super Stickman Heroes Fight,ONEGAME GLOBAL,Action,4.1,146,Install,"February 19, 2021,67M,5,000,000+,2.5,4.4 and up,In-Game Purchases,€0.59 - €104.99 per item,Google Commerce Ltd",5
Merge Kingdoms - Tower Defense,FunCraft Games,Casual,3.2,11,Install,"April 20, 2021,110M,100,000+,1.1.6437,4.4 and up,Users Interact, In-Game Purchases,€0.99 - €94.99 per item,Google Commerce Ltd",5
Who Is Impostor ?,Azura Global,Puzzle,4.0,98,Install,"April 15, 2021,79M,1,000,000+,1.0.16,5.0 and up,In-Game Purchases,€0.99 - €6.49 per item,Google Commerce Ltd",5
Brain Up,Azura Global,Puzzle,4.1,"1,239",Install,"April 20, 2021,81M,10,000,000+,1.0.27,5.0 and up,€0.99 - €6.49 per item,Google Commerce Ltd",5
Stick Super Fight,Onegame Global Studio,Action,4.3,52,Install,"March 23, 2021,67M,1,000,000+,1.6,5.0 and up,In-Game Purchases,€0.59 - €104.99 per item,Google Commerce Ltd",5
Super Stick Fight All-Star Hero: Chaos War Battle,ONEGAME GLOBAL,Action,3.2,5,Install,"April 16, 2021,112M,500,000+,1.6,5.0 and up,In-Game Purchases,€1.09 - €99.99 per item,Google Commerce Ltd",5
Road to Valor: World War II,Dreamotion Inc.,Strategy,4.0,"2,360",Install,"March 29, 2021,50M,1,000,000+,2.26.1598.2897,5.0 and up,Digital Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",5
Steel Robot Ring Fighting – Robot Wrestling 2019,Horizon Games Ltd,Sports,,,Install,"February 12, 2020,46M,100,000+,1.6,4.1 and up,In-Game Purchases,€1.69 - €3.29 per item,Google Commerce Ltd",5
Shooting Showdown 2,Naquatic LLC,Action,3.6,146,Install,"July 24, 2020,69M,100,000+,1.8.3,4.1 and up,Users Interact, Digital Purchases,€1.43 - €72.00 per item,Google Commerce Ltd",5
Guns'n'Glory Heroes,HandyGames,Strategy,4.0,574,Install,"June 3, 2019,33M,500,000+,1.2.4,4.0.3 and up,In-Game Purchases,€1.99 - €9.99 per item,Google Commerce Ltd",5
BLOCKFIELD - 5v5 shooter,Azur Interactive Games Limited,Action,3.6,43,Install,"April 15, 2021,Varies with device,1,000,000+,0.98,5.0 and up,Users Interact, In-Game Purchases,€1.09 - €32.99 per item,Google Commerce Ltd",5
Battle Gun 3D - Pixel Block Fight Online PVP FPS,Pixel Shooter Games,Action,4.0,845,Install,"March 14, 2021,66M,500,000+,1.5.058,4.1 and up,In-Game Purchases,€0.79 - €16.99 per item,Google Commerce Ltd",5
The Seven Deadly Sins: Grand Cross,Netmarble,Role Playing,4.0,"16,211",Install,"April 1, 2021,123M,10,000,000+,1.2.1,4.4 and up,In-Game Purchases,€1.09 - €89.99 per item,Google Commerce Ltd",4
Checkers,English Checkers,Board,4.1,"3,591",Install,"March 13, 2021,3.5M,100,000,000+,4.4.3,4.1 and up,€2.69 per item,Google Commerce Ltd",3
Shooting Ball,7788`s,Sports,4.3,"12,738",Install,"April 7, 2021,43M,10,000,000+,1.0.62,4.1 and up,Google Commerce Ltd",3
Stick Shadow Fighter - Supreme Dragon Warriors,PHOENIX GLOBAL,Action,4.3,681,Install,"April 22, 2020,66M,10,000,000+,1.1.8,4.1 and up,In-Game Purchases,€0.59 - €31.99 per item,Google Commerce Ltd",4
Fan of Guns,Craft Games,Action,4.3,684,Install,"January 8, 2021,Varies with device,5,000,000+,0.9.99,4.4 and up,Users Interact, In-Game Purchases,€1.89 - €19.99 per item,Google Commerce Ltd",5
Billiard free,Ball games,Casual,4.2,"2,524",Install,"July 1, 2020,Varies with device,10,000,000+,Varies with device,Varies with device,Google Commerce Ltd",3
Animal Transform Race - Epic Race 3D,Lion Studios,Racing,2.6,90,Install,"April 4, 2021,54M,5,000,000+,0.6.1,5.0 and up,Google Commerce Ltd",5
Bottle Shooting Game,Sigma App Labs,Arcade,3.9,263,Install,"October 5, 2020,32M,50,000,000+,2.6.9,4.2 and up,€2.59 per item,Google Commerce Ltd",3
Badminton League,RedFish Games,Sports,3.7,"2,368",Install,"March 25, 2021,72M,50,000,000+,5.20.5052.6,4.4 and up,Digital Purchases,€0.99 - €54.99 per item,Google Commerce Ltd",3
Candy Crush Soda Saga,King,Casual,4.4,"252,465",Install,"April 16, 2021,Varies with device,100,000,000+,1.190.2,4.1 and up,Shares Info, Digital Purchases,€0.99 - €169.99 per item,Google Commerce Ltd",3
Ludo King™,Gametion Technologies Pvt Ltd,Board,4.0,"6,442",Install,"March 26, 2021,52M,500,000,000+,6.0.0.184,4.4 and up,Users Interact, In-Game Purchases,€0.59 - €244.99 per item,Google Commerce Ltd",3
Grand Prison Escape 3D - Prison Breakout Simulator,Horizon Games Ltd,Action,2.9,27,Install,"February 15, 2020,77M,100,000+,1.4,4.1 and up,In-Game Purchases,€1.29 per item,Google Commerce Ltd",5
Farm Heroes Saga,King,Casual,4.5,"389,760",Install,"April 21, 2021,81M,100,000,000+,5.56.3,4.1 and up,Users Interact, Shares Info, Digital Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",3
Crash Bandicoot: On the Run!,King,Action,4.3,"10,111",Install,"March 29, 2021,184M,10,000,000+,1.0.81,5.0 and up,Users Interact, In-Game Purchases,€0.99 - €109.99 per item,Google Commerce Ltd",3
BTS WORLD,Netmarble,Casual,4.7,"10,841",Install,"June 8, 2020,93M,10,000,000+,1.8.1,4.4 and up,In-Game Purchases,€0.89 - €109.99 per item,Google Commerce Ltd",5
Chess,CanaryDroid,Board,4.3,652,Install,"March 4, 2020,4.2M,10,000,000+,1.1.6,2.3 and up,Google Commerce Ltd",4
Pool Billiards Pro,TerranDroid,Sports,4.1,"12,690",Install,"January 15, 2020,6.5M,100,000,000+,4.4,1.5 and up,In-Game Purchases,€1.48 - €99.99 per item,Google Commerce Ltd",3
Roll Balls into a hole,Ball games,Casual,4.3,"7,381",Install,"July 2, 2018,2.5M,10,000,000+,12.22,2.1 and up,Google Commerce Ltd",4
Critical Strike 5vs5 Online Counter Terrorist FPS,PHOENIX GLOBAL,Arcade,3.7,6,Install,"January 12, 2020,25M,100,000+,1.0.7,4.1 and up,Users Interact,€1.09 - €12.99 per item,Google Commerce Ltd",5
Table Tennis Touch,Yakuto,Sports,3.7,"3,676",Install,"April 1, 2021,25M,10,000,000+,3.2.0331.0,6.0 and up,€0.89 - €3.39 per item,Google Commerce Ltd",4
3D Tennis,Mouse Games,Sports,4.0,"10,795",Install,"January 7, 2020,14M,50,000,000+,1.8.1,4.0 and up,Digital Purchases,€1.45 - €72.76 per item,Google Commerce Ltd",4
Ludo Master™ - New Ludo Board Game 2021 For Free,Hippo Lab,Board,3.5,38,Install,"April 16, 2021,32M,10,000,000+,3.7.5,4.4 and up,In-Game Purchases,€0.99 - €104.99 per item,Google Commerce Ltd",4
Impostor Rescue,PHOENIX GLOBAL,Puzzle,,,Install,"January 13, 2021,Varies with device,50,000+,Varies with device,Varies with device,In-Game Purchases,€3.19 per item,Google Commerce Ltd",5
Genshin Impact,miHoYo Limited,Adventure,4.4,"31,222",Install,"March 22, 2021,543M,10,000,000+,1.4.1_2154667_2147343,5.0 and up,Users Interact, In-Game Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",4
RPG Toram Online - MMORPG,"Asobimo, Inc.",Role Playing,4.4,"5,840",Install,"April 21, 2021,62M,10,000,000+,3.3.58,4.1 and up,Users Interact, Shares Info, Digital Purchases,€1.09 - €89.99 per item,Google Commerce Ltd",4
Chess,Chess Prince,Board,4.3,"18,832",Install,"February 13, 2021,2.8M,100,000,000+,2.7.5,4.1 and up,€1.09 - €3.79 per item,Google Commerce Ltd",4
Rescue Impostor - How To Loot - Hero Rescue,PHOENIX GLOBAL,Puzzle,,,Install,"January 30, 2021,Varies with device,100,000+,Varies with device,Varies with device,In-Game Purchases,€1.09 - €5.49 per item,Google Commerce Ltd",5
Looney Tunes™ World of Mayhem - Action RPG,Scopely,Role Playing,3.8,"9,568",Install,"April 14, 2021,177M,10,000,000+,27.0.0,5.0 and up,Users Interact, In-Game Purchases,€1.09 - €349.99 per item,Google Commerce Ltd",4
King Of Math,Sigma App Labs,Education,,,Install,"July 29, 2019,8.2M,50,000+,1.3.1,4.4 and up,Google Commerce Ltd",4
Ludo Club - Fun Dice Game,Moonfrog,Board,4.2,"9,636",Install,"April 14, 2021,Varies with device,50,000,000+,Varies with device,Varies with device,Users Interact, In-Game Purchases,€0.59 - €349.99 per item,Google Commerce Ltd",4
Sand Painting,CanaryDroid,Simulation,4.6,7,Install,"March 31, 2021,27M,100,000+,1.8,4.1 and up,Google Commerce Ltd",5
Ludo,Yarsa Games,Board,4.1,138,Install,"April 2, 2021,19M,50,000,000+,0.2.1,4.4 and up,Google Commerce Ltd",4
Punch Boxing 3D,CanaryDroid,Sports,4.3,"9,493",Install,"January 18, 2021,Varies with device,50,000,000+,Varies with device,Varies with device,Digital Purchases,€1.59 - €79.99 per item,Google Commerce Ltd",5
Mario Kart Tour,"Nintendo Co., Ltd.",Action,4.1,"81,609",Install,"April 9, 2021,129M,50,000,000+,2.9.0,4.4 and up,In-Game Purchases,€2.29 - €74.99 per item,Google Commerce Ltd",4
Ludo All Star - Online Ludo Game & King of Ludo,Yoozoo Global,Board,4.2,408,Install,"April 12, 2021,52M,10,000,000+,2.1.11,5.0 and up,Users Interact, In-Game Purchases,€0.99 - €109.99 per item,Google Commerce Ltd",5
Air Hockey Challenge,mobirix,Sports,3.5,"2,083",Install,"March 23, 2021,23M,10,000,000+,1.0.16,4.1 and up,Users Interact, In-Game Purchases,€2.99 - €99.99 per item,Google Commerce Ltd",5
Bricks Breaker Fun,The Gamers Zone,Casual,4.3,152,Install,"March 25, 2021,23M,1,000,000+,3.3,4.1 and up,Users Interact,€2.89 - €94.99 per item,Google Commerce Ltd",5
Ludo Talent- Online Ludo&Chatroom,Indigo Technology Pte. Ltd.,Board,4.1,70,Install,"March 15, 2021,30M,10,000,000+,2.15.1,4.1 and up,Users Interact, In-Game Purchases,€0.99 - €224.99 per item,Google Commerce Ltd",5
Unblock Me FREE,"Kiragames Co., Ltd.",Puzzle,4.4,"15,719",Install,"February 12, 2021,Varies with device,50,000,000+,2.0.13,4.1 and up,In-Game Purchases,€0.99 - €20.99 per item,Google Commerce Ltd",5
Basketball Stars,Miniclip.com,Sports,4.2,"20,082",Install,"March 10, 2021,66M,50,000,000+,1.32.0,4.4 and up,Digital Purchases,€0.99 - €99.99 per item,Google Commerce Ltd",5
N0va Desktop,miHoYo Limited,Entertainment,4.4,105,Install,"January 27, 2021,120M,100,000+,1.0.0.14,5.0 and up,Google Commerce Ltd",5
Chess Free,AI Factory Limited,Board,4.4,"38,061",Install,"March 9, 2021,24M,50,000,000+,3.305,4.4 and up,Google Commerce Ltd",5
AVABEL ONLINE [Action MMORPG],"Asobimo, Inc.",Role Playing,3.7,"5,029",Install,"April 20, 2021,82M,10,000,000+,8.8.7,5.0 and up,Users Interact, Digital Purchases,€0.99 - €179.99 per item,Google Commerce Ltd",5
Rummy Gold (With Fast Rummy) -13 Card Indian Rummy,Moonfrog,Card,,,Install,"October 7, 2020,Varies with device,1,000,000+,5.69,4.1 and up,Users Interact, In-Game Purchases,€0.59 - €349.99 per item,Google Commerce Ltd",5
Parchisi STAR Online,Gameberry Labs,Board,4.4,"2,120",Install,"April 19, 2021,Varies with device,50,000,000+,Varies with device,Varies with device,Users Interact, In-Game Purchases,€0.99 - €104.99 per item,Google Commerce Ltd",5
KING`s RAID,Vespa Inc.,Role Playing,4.4,"5,047",Install,"April 7, 2021,104M,5,000,000+,4.30.1,4.4 and up,Users Interact, Digital Purchases,€0.99 - €184.99 per item,Google Commerce Ltd",5
RPG IRUNA Online MMORPG,"Asobimo, Inc.",Role Playing,3.9,"1,336",Install,"April 2, 2021,22M,1,000,000+,5.6.9E,4.1 and up,In-Game Purchases,€0.89 - €89.99 per item,Google Commerce Ltd",5
Teen Patti Gold – Indian Family Card Game,Moonfrog,Casino,4.3,678,Install,"April 16, 2021,Varies with device,50,000,000+,5.96,4.1 and up,Users Interact, Digital Purchases,€0.59 - €349.99 per item,Google Commerce Ltd",5
Rummy 2020 - Free Offline Rummy Game,Yarsa Games,Card,,,Install,"January 19, 2020,15M,1,000,000+,1.1,4.4 and up,Google Commerce Ltd",5
Eternal Senia - Hydrangea After The Rain,Sanctum Games Limited,Role Playing,4.5,744,Install,"November 13, 2020,142M,1,000,000+,1.201103,5.0 and up,Digital Purchases,€1.99 - €99.99 per item,Google Commerce Ltd",5
Need for Speed™ No Limits,ELECTRONIC ARTS,Racing,4.0,"98,239",Install,"April 15, 2021,79M,100,000,000+,5.2.1,4.4 and up,Digital Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",5
"Multiplication table: Times Table, Division Table",App7soft,Education,,,Install,"April 11, 2021,9.8M,10,000+,1.4.6,4.4 and up,Google Commerce Ltd",5
Dr. Mario World,"Nintendo Co., Ltd.",Puzzle,4.0,"6,392",Install,"March 23, 2021,Varies with device,5,000,000+,2.3.0,4.4 and up,In-Game Purchases,€2.29 - €74.99 per item,Google Commerce Ltd",5
Mental Math Free,cyandroid,Education,3.8,15,Install,"November 17, 2014,1.7M,100,000+,1.1.8,4.0.3 and up,Google Commerce Ltd",5
Schulte Table - speed reading and mental workout!,Bohdan Samusko,Education,,,Install,"November 5, 2019,10M,100,000+,1.2.44,4.1 and up,€1.89 per item,Google Commerce Ltd",5
Combinations in the Sicilian Defense (free),Maksim Kolosov,Education,5.0,7,Install,"April 7, 2021,7.0M,10,000+,1.6.2.0,4.4 and up,Google Commerce Ltd",5
Animal Crossing: Pocket Camp,"Nintendo Co., Ltd.",Simulation,4.3,"44,295",Install,"March 31, 2021,173M,10,000,000+,4.2.1,5.0 and up,Digital Purchases,€1.09 - €89.99 per item,Google Commerce Ltd",5
"Driving School 2020 - Car, Bus & Bike Parking Game",Yarsa Games,Simulation,3.3,56,Install,"June 20, 2020,Varies with device,5,000,000+,2.0.1,4.4 and up,In-Game Purchases,€2.19 - €5.49 per item,Google Commerce Ltd",5
"Times Tables : Learn Tables, Squares & Cubes",SnowBall,Education,4.3,41,Install,"January 23, 2019,2.4M,50,000+,3.0.4,4.0 and up,Google Commerce Ltd",5
The Simpsons™:  Tapped Out,ELECTRONIC ARTS,Casual,4.0,"378,782",Install,"April 6, 2021,85M,100,000,000+,4.49.0,4.1 and up,Digital Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",5
YAHTZEE® With Buddies Dice Game,Scopely,Board,3.9,"5,124",Install,"April 12, 2021,109M,10,000,000+,8.2.2,4.4 and up,Users Interact, In-Game Purchases,€0.99 - €109.99 per item,Google Commerce Ltd",5
Disney Heroes: Battle Mode,PerBlue Entertainment,Strategy,4.2,"10,781",Install,"April 9, 2021,Varies with device,10,000,000+,2.8,Varies with device,Users Interact, Digital Purchases,€0.99 - €99.99 per item,Google Commerce Ltd",5
Ice Age Adventures,Gameloft SE,Adventure,3.9,"35,988",Install,"March 1, 2021,62M,50,000,000+,2.0.9a,4.1 and up,In-Game Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",5
Lord of Heroes,CloverGames,Role Playing,4.4,"3,069",Install,"April 16, 2021,202M,1,000,000+,1.1.042007,6.0 and up,In-Game Purchases,€1.09 - €49.99 per item,Google Commerce Ltd",5
Scrabble® GO - New Word Game,Scopely,Word,3.4,"5,351",Install,"April 21, 2021,119M,10,000,000+,1.32.5,5.0 and up,Users Interact, In-Game Purchases,€0.79 - €324.99 per item,Google Commerce Ltd",5
Alchemia Story - MMORPG,"Asobimo, Inc.",Role Playing,3.7,403,Install,"April 19, 2021,78M,1,000,000+,1.0.94,4.1 and up,Digital Purchases,€0.99 - €84.99 per item,Google Commerce Ltd",5
Hill Car Race - New Hill Climbing Game For Free,Hippo Lab,Racing,3.7,11,Install,"December 31, 2020,47M,500,000+,1.7,5.0 and up,Google Commerce Ltd",5
Honkai Impact 3rd,miHoYo Limited,Action,4.2,"9,261",Install,"April 19, 2021,227M,5,000,000+,4.7.0,5.0 and up,Users Interact, Digital Purchases,€0.89 - €99.99 per item,Google Commerce Ltd",5
Solitaire,Mouse Games,Card,4.4,773,Install,"October 14, 2019,5.6M,10,000,000+,2.7,2.0 and up,Google Commerce Ltd",5
Block Puzzle Guardian - New Block Puzzle Game 2021,Hippo Lab,Puzzle,3.5,31,Install,"March 31, 2021,32M,1,000,000+,1.6.12,4.4 and up,Google Commerce Ltd",5
Epic Seven,Smilegate Megaport,Role Playing,4.2,"6,745",Install,"February 24, 2021,58M,5,000,000+,1.0.292,5.0 and up,In-Game Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",5
Hyper Prison 3D,Mouse Games,Casual,,,Install,"April 20, 2021,24M,50,000+,1.8,4.1 and up,Google Commerce Ltd",5
Unblock Car,Mouse Games,Strategy,4.6,"3,859",Install,"February 20, 2020,4.3M,10,000,000+,2.3,2.1 and up,Digital Purchases,€1.60 - €80.25 per item,Google Commerce Ltd",5
Sniper Shot 3D: Call of Snipers,Mouse Games,Action,4.4,"1,045",Install,"September 14, 2018,Varies with device,10,000,000+,Varies with device,Varies with device,Digital Purchases,€1.99 - €99.99 per item,Google Commerce Ltd",5
Ultimate Tennis: 3D online sports game,9M Interactive,Sports,3.8,"2,893",Install,"January 31, 2020,141M,10,000,000+,3.16.4417,4.1 and up,Digital Purchases,€0.99 - €94.99 per item,Google Commerce Ltd",5
Tennis World Open 2021: Ultimate 3D Sports Games,INLOGIC SPORTS - football tennis golf soccer,Sports,4.2,366,Install,"December 22, 2020,77M,1,000,000+,1.0.78,5.0 and up,€0.99 - €19.99 per item,Google Commerce Ltd",5
Ping Pong Fury,Yakuto,Sports,3.4,47,Install,"April 21, 2021,172M,500,000+,1.19.2.2305,8.0 and up,€1.09 - €109.99 per item,Google Commerce Ltd",5
Table Tennis,Giraffe Games Limited,Sports,4.1,"3,335",Install,"June 8, 2018,44M,10,000,000+,2.1,4.1 and up,Users Interact, Digital Purchases,€1.99 - €28.99 per item,Google Commerce Ltd",5
Ball Sort Puzzle - Color Sorting Games,Spica Game Studio,Puzzle,4.4,704,Install,"April 1, 2021,18M,5,000,000+,1.5.9,4.4 and up,In-Game Purchases,€2.89 per item,Google Commerce Ltd",5
Word Spot,TerranDroid,Word,4.5,10,Install,"March 2, 2021,11M,1,000,000+,3.3.1,4.0 and up,Digital Purchases,€1.99 - €99.99 per item,Google Commerce Ltd",5
Darts of Fury,Yakuto,Sports,4.5,"26,626",Install,"March 12, 2021,136M,5,000,000+,3.2.0312.1100,6.0 and up,Digital Purchases,€0.99 - €79.99 per item,Google Commerce Ltd",5
Pinball Pro,TerranDroid,Board,4.2,"13,869",Install,"May 14, 2019,7.7M,10,000,000+,2.6,2.0 and up,Google Commerce Ltd",4
Unblock The Ball - Roll & Drag Block Puzzle Games,"Free Puzzle Games, Ltd.",Puzzle,4.4,195,Install,"April 12, 2021,44M,1,000,000+,2.4,4.1 and up,In-Game Purchases,€0.99 - €12.99 per item,Google Commerce Ltd",5
City Smasher,TerranDroid,Action,3.9,468,Install,"May 12, 2020,20M,5,000,000+,1.8,4.0 and up,Digital Purchases,€1.99 - €109.99 per item,Google Commerce Ltd",4
Summer Sports Events,TerranDroid,Sports,3.5,951,Install,"September 1, 2020,24M,10,000,000+,1.5,4.1 and up,Digital Purchases,€1.99 - €99.99 per item,Google Commerce Ltd",4
Turbo Driving Racing 3D,TerranDroid,Racing,4.4,"2,737",Install,"February 12, 2020,25M,50,000,000+,2.3,4.0 and up,Digital Purchases,€2.21 - €110.90 per item,Google Commerce Ltd",4
Archery Master 3D,TerranDroid,Sports,4.4,"12,822",Install,"December 11, 2019,Varies with device,100,000,000+,Varies with device,Varies with device,Digital Purchases,€1.59 - €79.99 per item,Google Commerce Ltd",4
Ultimate Soccer - Football,Mouse Games,Sports,3.5,"5,065",Install,"April 9, 2020,Varies with device,50,000,000+,Varies with device,Varies with device,Digital Purchases,€1.59 - €79.99 per item,Google Commerce Ltd",5
8 Ball Blitz - Billiards Game& 8 Ball Pool in 2021,Special Tag,Sports,,,Install,"February 24, 2021,Varies with device,1,000,000+,Varies with device,Varies with device,Users Interact, In-Game Purchases,€0.99 - €54.99 per item,Google Commerce Ltd",4
8 Ball Billiards- Offline Free Pool Game,SNG Games,Sports,3.7,49,Install,"April 19, 2021,46M,1,000,000+,1.7.2,4.4 and up,In-Game Purchases,€0.99 - €17.99 per item,Google Commerce Ltd",4
Mahjong,CanaryDroid,Puzzle,4.6,"5,465",Install,"July 16, 2020,Varies with device,5,000,000+,Varies with device,Varies with device,Digital Purchases,Google Commerce Ltd",5
Exploration Lite Craft,CanaryDroid,Action,3.7,"3,349",Install,"November 28, 2019,15M,50,000,000+,1.1.0,4.0 and up,Digital Purchases,€1.99 - €99.99 per item,Google Commerce Ltd",5
Chess - Clash of Kings,Chess & Checkers Games,Board,4.3,"7,099",Install,"April 16, 2021,61M,10,000,000+,2.20.0,5.0 and up,Digital Purchases,€0.59 - €16.99 per item,Google Commerce Ltd",5
Carrom King™ - Best Online Carrom Board Pool Game,Gametion Technologies Pvt Ltd,Board,3.5,52,Install,"March 25, 2021,39M,50,000,000+,3.4.0.87,4.1 and up,€0.59 - €29.99 per item,Google Commerce Ltd",4
Badminton Blitz - Free PVP Online Sports Game,707 INTERACTIVE: Fun Epic Casual Games,Sports,3.9,52,Install,"April 8, 2021,123M,1,000,000+,1.2.2.3,4.4 and up,€0.99 - €144.99 per item,Google Commerce Ltd",4
Minion Rush: Despicable Me Official Game,Gameloft SE,Casual,4.4,"320,744",Install,"April 14, 2021,85M,100,000,000+,7.8.0e,4.1 and up,In-Game Purchases,€0.50 - €109.99 per item,Google Commerce Ltd",4
Ludo SuperStar,BlackLight Studio Games,Board,4.3,389,Install,"April 17, 2021,35M,50,000,000+,24.51,4.3 and up,Users Interact, In-Game Purchases,€0.59 - €69.99 per item,Google Commerce Ltd",4
Ludo King™ TV,Gametion Technologies Pvt Ltd,Casual,,,Install,"August 25, 2020,39M,500,000+,5.1.8.160,4.1 and up,Users Interact, In-Game Purchases,€0.79 - €349.99 per item,Google Commerce Ltd",4
Williams™ Pinball,Zen Studios,Simulation,4.0,"1,220",Install,"October 20, 2020,87M,100,000+,1.5.0,4.4 and up,In-Game Purchases,€1.09 - €104.99 per item,Google Commerce Ltd",5
3D Pool Ball,CanaryDroid,Sports,4.3,"2,301",Install,"September 26, 2019,31M,10,000,000+,2.2.2.3,4.0 and up,Users Interact, In-Game Purchases,€0.99 - €109.99 per item,Google Commerce Ltd",5
Athletics Mania: Track & Field Summer Sports Game,"POWERPLAY MANAGER, s.r.o.",Sports,4.1,"1,381",Install,"March 31, 2021,18M,1,000,000+,2.7,5.0 and up,Users Interact, In-Game Purchases,€0.99 - €239.99 per item,Google Commerce Ltd",5
Tour de France 2020 Official Game - Sports Manager,PLAYSOFT,Sports,3.9,90,Install,"January 11, 2021,95M,100,000+,1.5.0,4.1 and up,Users Interact, In-Game Purchases,€0.59 - €114.99 per item,Google Commerce Ltd",5
World Archery League,mobirix,Sports,4.1,75,Install,"February 23, 2021,85M,1,000,000+,1.2.2,5.0 and up,Users Interact, In-Game Purchases,€2.99 - €99.99 per item,Google Commerce Ltd",5
Archery World,Gunfire Game,Sports,4.5,559,Install,"April 2, 2021,61M,1,000,000+,1.0.97,4.4 and up,In-Game Purchases,Google Commerce Ltd",5
Shooting World - Gun Fire,Gun Fire Studio,Sports,4.6,"25,749",Install,"April 17, 2021,64M,50,000,000+,1.2.57,4.4 and up,€5.49 - €109.99 per item,Google Commerce Ltd",5
OKEY,SNG Games,Board,4.5,"4,889",Install,"December 21, 2020,32M,1,000,000+,1.6.5,4.1 and up,Users Interact, In-Game Purchases,€1.19 - €124.99 per item,Google Commerce Ltd",5
8 Pool Billiards - 8 ball pool offline game,OneSoft Global PTE. LTD.,Sports,4.3,89,Install,"April 16, 2021,64M,1,000,000+,1.7.19,4.4 and up,€0.99 - €49.99 per item,Google Commerce Ltd",5
8 ball billiards Offline / Online pool free game,min87.com,Sports,4.2,94,Install,"April 12, 2021,22M,1,000,000+,80.70,4.1 and up,€0.99 - €94.99 per item,Google Commerce Ltd",5
Rummy - Offline,SNG Games,Board,4.2,"3,263",Install,"February 25, 2021,19M,1,000,000+,1.3.4,4.4 and up,Google Commerce Ltd",5
Zaccaria Pinball,Magic Pixel KFT.,Arcade,3.6,120,Install,"May 8, 2020,15M,100,000+,4.0.2,4.4 and up,Digital Purchases,€0.79 - €21.99 per item,Google Commerce Ltd",5
8 Ball Tournaments: Epic 8 Ball Pool Billiard Game,Special Tag,Sports,4.4,10,Install,"January 14, 2021,24M,500,000+,1.23.3179,4.4 and up,Google Commerce Ltd",5
8 Ball Hero - Pool Billiards Puzzle Game,First Touch Games Ltd.,Sports,4.3,326,Install,"January 28, 2021,75M,1,000,000+,1.18,5.0 and up,In-Game Purchases,€1.09 - €64.99 per item,Google Commerce Ltd",5
Dragon Mania Legends,Gameloft SE,Simulation,4.3,"84,886",Install,"April 22, 2021,119M,50,000,000+,6.1.0o,4.4 and up,Users Interact, In-Game Purchases,€0.50 - €109.99 per item,Google Commerce Ltd",5
World of Tennis: Roaring ’20s — online sports game,Helium9 Games - tennis and sports games,Sports,4.4,753,Install,"February 8, 2021,89M,500,000+,4.9.5,4.1 and up,In-Game Purchases,€1.09 - €23.99 per item,Google Commerce Ltd",5
Carrom Superstar,BlackLight Studio Games,Board,2.5,6,Install,"March 16, 2021,Varies with device,10,000,000+,Varies with device,Varies with device,€0.59 - €37.99 per item,Google Commerce Ltd",5
Callbreak Superstar,BlackLight Studio Games,Card,3.6,5,Install,"April 20, 2021,18M,10,000,000+,7.9.6,4.3 and up,Users Interact, In-Game Purchases,€0.59 - €9.49 per item,Google Commerce Ltd",5
Asphalt 9: Legends - Epic Car Action Racing Game,Gameloft SE,Racing,4.3,"35,546",Install,"April 16, 2021,96M,50,000,000+,2.8.4a,7.0 and up,Users Interact, In-Game Purchases,€0.50 - €229.99 per item,Google Commerce Ltd",5
Ninja’s Creed: 3D Sniper Shooting Assassin Game,707 INTERACTIVE: Fun Epic Casual Games,Action,4.4,"2,337",Install,"March 31, 2021,149M,10,000,000+,2.1.1,5.0 and up,In-Game Purchases,€0.99 - €119.99 per item,Google Commerce Ltd",5
Clash of Bugs: Epic Casual Bug & Animal Art Games,707 INTERACTIVE: Fun Epic Casual Games,Casual,,,Install,"March 26, 2021,Varies with device,50,000+,Varies with device,Varies with device,Google Commerce Ltd",5
"Bead 16 - Sholo Guti | Bead 12, 16 Soldiers Online",Align It Games,Board,,,Install,"December 28, 2020,9.4M,5,000,000+,3.4.2.3,4.1 and up,Users Interact,€0.59 per item,Google Commerce Ltd",5
Pool Empire -8 ball pool game,"HangZhou Mention Network Technology Co., Ltd.",Sports,4.6,272,Install,"March 30, 2021,111M,500,000+,5.3203,4.4 and up,€1.09 - €109.99 per item,Google Commerce Ltd",5
Carrom Friends : Carrom Board & Pool Game,Yoozoo Global,Sports,4.2,58,Install,"February 11, 2021,54M,10,000,000+,1.0.33,4.4 and up,Users Interact, In-Game Purchases,€0.99 - €47.99 per item,Google Commerce Ltd",5
Ramp Car Stunts Racing - Free New Car Games 2021,Games Wing,Role Playing,3.5,116,Install,"March 29, 2021,45M,10,000,000+,3.9,4.4 and up,In-Game Purchases,€4.19 - €104.99 per item,Google Commerce Ltd",5
Ramp Car Stunts 3D Free - Multiplayer Car Games,Games Wing,Role Playing,3.8,125,Install,"March 19, 2021,35M,10,000,000+,4.9,4.4 and up,In-Game Purchases,€9.99 - €154.99 per item,Google Commerce Ltd",5
