App Name,Creator,Genre,Rate,Number of Reviews,Price,Additional Info,Spider Depth Level
Art of War: Legions,Fastone Games HK,Strategy,4.3,"20,078",Install,"April 22, 2021,140M,10,000,000+,4.2.5,4.1 and up,In-Game Purchases,€0.99 - €114.99 per item,Google Commerce Ltd",2
Sword Art Online: Integral Factor,BANDAI NAMCO Entertainment Inc.,Role Playing,4.4,"7,201",Install,"April 21, 2021,90M,5,000,000+,1.7.2,5.0 and up,Users Interact, Digital Purchases,€1.09 - €89.99 per item,Google Commerce Ltd",3
Candy Crush Saga,King,Casual,4.5,"912,901",Install,"April 9, 2021,Varies with device,1,000,000,000+,1.200.0.2,4.4 and up,Users Interact, Shares Info, Digital Purchases,€0.83 - €169.99 per item,Google Commerce Ltd",2
Carrom Pool: Disc Game,Miniclip.com,Sports,4.1,"1,557",Install,"March 29, 2021,34M,100,000,000+,5.1.0,4.1 and up,Digital Purchases,€0.99 - €114.99 per item,Google Commerce Ltd",2
Pooking - Billiards City,MOUNTAIN GAME,Sports,4.4,"36,103",Install,"March 27, 2021,43M,100,000,000+,3.0.7,4.1 and up,Google Commerce Ltd",2
ONE PIECE TREASURE CRUISE,BANDAI NAMCO Entertainment Inc.,Role Playing,4.3,"87,540",Install,"April 22, 2021,86M,10,000,000+,10.2.1,4.2 and up,Users Interact, Digital Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",3
Stickman Warriors - Super Dragon Shadow Fight,SkySoft Studio,Action,4.6,"2,628",Install,"December 16, 2020,89M,10,000,000+,1.3.4,4.4 and up,€0.59 - €31.99 per item,Google Commerce Ltd",3
Ninja Arashi,Black Panther,Adventure,4.5,"5,736",Install,"July 26, 2020,61M,10,000,000+,1.4,4.1 and up,Digital Purchases,€0.99 - €1.99 per item,Google Commerce Ltd",3
Golden Farm : Idle Farming & Adventure Game,P.D. PLAYGENES INTERNATIONAL LIMITED,Casual,4.1,"6,992",Install,"April 22, 2021,Varies with device,5,000,000+,Varies with device,4.0 and up,Users Interact, In-Game Purchases,€0.59 - €349.99 per item,Google Commerce Ltd",3
Ninja warrior: legend of adventure games,TOH Games,Adventure,4.4,"1,261",Install,"February 19, 2021,40M,10,000,000+,1.47.1,4.1 and up,€1.09 - €9.99 per item,Google Commerce Ltd",3
Township,Playrix,Casual,4.0,"277,820",Install,"March 13, 2021,147M,100,000,000+,8.1.2,4.2 and up,Users Interact, Digital Purchases,€0.50 - €109.99 per item,Google Commerce Ltd",3
DRAGON BALL Z DOKKAN BATTLE,BANDAI NAMCO Entertainment Inc.,Action,4.4,"35,989",Install,"March 17, 2021,Varies with device,10,000,000+,4.14.4,4.4 and up,Users Interact, Digital Purchases,€1.09 - €54.99 per item,Google Commerce Ltd",3
Shadow Hunter : Lost World - Epic Hack and Slash,Enigma Software JSC,Action,,,Install,"April 7, 2021,Varies with device,1,000,000+,Varies with device,Varies with device,In-Game Purchases,€0.99 - €99.99 per item,Google Commerce Ltd",3
Stickman Party: 1 2 3 4 Player Games Free,Playmax Game Studio,Arcade,4.4,"1,851",Install,"February 7, 2021,50M,50,000,000+,2.0.3,4.4 and up,€0.99 - €18.99 per item,Google Commerce Ltd",3
Dan the Man: Action Platformer,Halfbrick Studios,Arcade,4.5,"13,897",Install,"April 21, 2021,81M,10,000,000+,1.8.30,4.4 and up,Digital Purchases,€1.09 - €64.99 per item,Google Commerce Ltd",3
Annelids: Online battle,Michal Srb,Action,4.1,"3,336",Install,"March 24, 2021,16M,10,000,000+,1.115.11,4.4 and up,Users Interact, Digital Purchases,€0.89 - €37.99 per item,Google Commerce Ltd",3
Food Gang,Bloop Games,Action,3.8,754,Install,"April 9, 2021,30M,5,000,000+,1.0.6,4.4 and up,In-Game Purchases,€1.99 - €99.99 per item,Google Commerce Ltd",3
Night Killer,Fastone Games HK,Arcade,3.8,26,Install,"July 20, 2020,70M,100,000+,0.4.6.3,4.1 and up,In-Game Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",3
BLEACH Brave Souls - 3D Action,KLab,Action,4.0,"5,065",Install,"April 21, 2021,103M,10,000,000+,12.1.1,4.1 and up,Users Interact, Shares Info, Digital Purchases,€1.09 - €89.99 per item,Google Commerce Ltd",4
Zombies vs Balls,P.D. PLAYGENES INTERNATIONAL LIMITED,Casual,4.2,83,Install,"September 25, 2020,Varies with device,100,000+,Varies with device,Varies with device,In-Game Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",4
Shadow of Death: Darkness RPG - Fight Now,Bravestars Games,Action,4.6,"2,930",Install,"April 16, 2021,176M,10,000,000+,1.100.2.0,5.0 and up,In-Game Purchases,€0.86 - €99.99 per item,Google Commerce Ltd",4
Find The Differences - Secret,Fastone Games HK,Puzzle,3.9,543,Install,"July 20, 2020,82M,10,000,000+,1.4.1,4.1 and up,Digital Purchases,€1.09 - €42.99 per item,Google Commerce Ltd",3
Karate King Fight: Offline Kung Fu Fighting Games,Fighting Sports,Role Playing,4.3,240,Install,"April 13, 2021,77M,10,000,000+,1.8.8,4.4 and up,€0.99 - €4.89 per item,Google Commerce Ltd",4
Bubble Witch 3 Saga,King,Puzzle,4.6,"213,194",Install,"April 19, 2021,104M,50,000,000+,7.5.36,4.1 and up,Shares Info, Digital Purchases,€1.09 - €109.99 per item,Google Commerce Ltd",3
Candy Crush Jelly Saga,King,Puzzle,4.4,"68,163",Install,"April 12, 2021,75M,100,000,000+,2.62.2,4.1 and up,Digital Purchases,€0.99 - €129.99 per item,Google Commerce Ltd",3
Candy Crush Friends Saga,King,Casual,4.5,"84,137",Install,"April 16, 2021,Varies with device,50,000,000+,1.56.3,4.4 and up,Shares Info,€1.09 - €109.99 per item,Google Commerce Ltd",3
Tesla Jump - Fast and Furious,P.D. PLAYGENES INTERNATIONAL LIMITED,Action,,,Install,"February 6, 2020,54M,10,000+,1.0.13,4.2 and up,In-Game Purchases,€1.19 - €5.99 per item,Google Commerce Ltd",4
Power line - Line Connect Puzzle,SkySoft Studio,Puzzle,,,Install,"November 21, 2018,Varies with device,1,000+,1.0.5,4.1 and up,Google Commerce Ltd",4
